word	value
agreste	agréste
amistosa	amistósa
amistosas	amistósas
anzois	anzóis
anzol	anzól
belga	bélga
belgas	bélgas
bordas	bórdas
carocos	caróços
carroca	carróça
carrocas	carróças
certo	cérto
cleo	cléo
cobra	cóbra
cobras	cóbras
cola	cóla
colas	cólas
colo	cólo
corajosa	corajósa
corajosas	corajósas
corajosos	corajósos
corolas	corólas
corolla	corólla
corpos	córpos
destrocos	destróços
esforcos	esfórços
fera	féra
feras	féras
ferro	férro
ferros	férros
festa	fésta
festas	féstas
fofoca	fofóca
fofocas	fofócas
fogos	fógos
folego	fôlego
fora	fóra
forma	fórma
formas	fórmas
forum	fórum
fossa	fóssa
fossas	fóssas
gesto	gésto
gestos	géstos
guerra	guérra
guerras	guérras
horta	hórta
hortas	hórtas
impostos	impóstos
jogos	jógos
leste	léste
lorota	loróta
lorotas	lorótas
lote	lóte
lotes	lótes
maloca	malóca
marola	maróla
marolas	marólas
metro	métro
metros	métros
morte	mórte
mortes	mórtes
nordeste	nordéste
noroeste	noroéste
norte	nórte
oeste	oéste
olhos	ólhos
ossos	óssos
pacoca	paçóca
pacocas	paçócas
pedra	pédra
pedras	pédras
perto	pérto
peste	péste
pestes	péstes
pipocas	pipócas
polo	pólo
polos	pólos
porcos	pórcos
porta	pórta
portas	pórtas
portos	pórtos
pote	póte
potes	pótes
reforcos	refórços
relva	rélva
relvas	rélvas
resto	résto
restos	réstos
selva	sélva
selvas	sélvas
serra	sérra
serras	sérras
silvestre	silvéstre
solo	sólo
solos	sólos
sorte	sórte
sortes	sórtes
teste	téste
testes	téstes
tijolos	tijólos
torta	tórta
tortas	tórtas
tortos	tórtos
trocos	tróços
veras	véras
verso	vérso
versos	vérsos
veste	véste
vestes	véstes
