word	mode	value	current	corrected	stress_source	mid_source	correction_class	pos	freq	ipa_source	source	license
agora	diacritized	agóra	a.ˈgo.ra	a.ˈgɔ.ra	2	ɔ	mid	adv,conj,noun	1181210	/aˈɡɔ.ɾɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
quer	diacritized	quér	ˈker	ˈkɛr	1	ɛ	mid	conj,verb	908089	/ˈkɛ(ʁ)/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
quero	diacritized	quéro	ˈke.ro	ˈkɛ.ro	1	ɛ	mid	noun,verb	783981	/ˈkɛ.ɾu/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
posso	diacritized	pósso	ˈpo.so	ˈpɔ.so	1	ɔ	mid	verb	740678	/ˈpɔ.su/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
porque	diacritized	porquê	ˈpɔr.ke	por.ˈke	2	e	stress+mid	adv,conj	711704	/puʁˈke/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
esta	diacritized	ésta	ˈes.ta	ˈɛs.ta	1	ɛ	mid	det,pron	474728	/ˈɛs.tɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
parece	diacritized	paréce	pa.ˈre.se	pa.ˈrɛ.se	2	ɛ	mid	verb	424214	/paˈɾɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
nossa	diacritized	nóssa	ˈno.sa	ˈnɔ.sa	1	ɔ	mid	det,intj,noun,pron	301627	/ˈnɔ.sɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
sair	diacritized	saír	ˈsajr	sa.ˈir	2	none	stress	verb	241982	/saˈi(ʁ)/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
espere	diacritized	espére	es.ˈpe.re	es.ˈpɛ.re	2	ɛ	mid	verb	224491	/esˈpɛ.ɾi/ | /isˈpɛ.ɾi/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
podem	diacritized	pódem	po.ˈdem	ˈpɔ.dem	1	ɔ	stress+mid	verb	172903	/ˈpɔ.dẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
homens	diacritized	hômens	o.ˈmens	ˈo.mens	1	none	stress	noun	155377	/ˈõ.mẽj̃s/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
essas	diacritized	éssas	ˈe.sas	ˈɛ.sas	1	ɛ	mid	det,noun,pron	142292	/ˈɛ.sɐs/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
espero	diacritized	espéro	es.ˈpe.ro	es.ˈpɛ.ro	2	ɛ	mid	verb	136327	/esˈpɛ.ɾu/ | /isˈpɛ.ɾu/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
gosta	diacritized	gósta	ˈgos.ta	ˈgɔs.ta	1	ɔ	mid	verb	118631	/ˈɡɔs.tɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
nossos	diacritized	nóssos	ˈno.sos	ˈnɔ.sos	1	ɔ	mid	det,noun,pron	117365	/ˈnɔ.sus/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
querem	diacritized	quérem	ke.ˈrem	ˈkɛ.rem	1	ɛ	stress+mid	verb	101749	/ˈkɛ.ɾẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
tivesse	diacritized	tivésse	ti.ˈve.se	ti.ˈvɛ.se	2	ɛ	mid	verb	99424	/t͡ʃiˈvɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
conhece	diacritized	conhéce	ko.ˈɲe.se	ko.ˈɲɛ.se	2	ɛ	mid	verb	96022	/kõˈɲɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
eram	diacritized	éram	ˈe.rãw̃	ˈɛ.rãw̃	1	ɛ	mid	verb	93945	/ˈɛ.ɾɐ̃w̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
dessa	diacritized	déssa	ˈde.sa	ˈdɛ.sa	1	ɛ	mid	contraction	90327	/ˈdɛ.sɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
possa	diacritized	póssa	ˈpo.sa	ˈpɔ.sa	1	ɔ	mid	verb	87555	/ˈpɔ.sɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
consegue	diacritized	conségue	kon.ˈse.ge	kon.ˈsɛ.ge	2	ɛ	mid	verb	84724	/kõˈsɛ.ɡi/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
nossas	diacritized	nóssas	ˈno.sas	ˈnɔ.sas	1	ɔ	mid	det,noun,pron	79871	/ˈnɔ.sɐs/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
desta	diacritized	désta	ˈdes.ta	ˈdɛs.ta	1	ɛ	mid	contraction	79504	/ˈdɛs.tɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
nessa	diacritized	néssa	ˈne.sa	ˈnɛ.sa	1	ɛ	mid	contraction	79187	/ˈnɛ.sɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
sabem	diacritized	sábem	sa.ˈbem	ˈsa.bem	1	none	stress	verb	77265	/ˈsa.bẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
pegue	diacritized	pégue	ˈpe.ge	ˈpɛ.ge	1	ɛ	mid	verb	76959	/ˈpɛ.ɡi/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
acontece	diacritized	acontéce	a.kon.ˈte.se	a.kon.ˈtɛ.se	3	ɛ	mid	intj,verb	71231	/a.kõˈtɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
dizem	diacritized	dízem	di.ˈzem	ˈdi.zem	1	none	stress	verb	69210	/ˈd͡ʒi.zẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
fazem	diacritized	fázem	fa.ˈzem	ˈfa.zem	1	none	stress	verb	67683	/ˈfa.zẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
nesta	diacritized	nésta	ˈnes.ta	ˈnɛs.ta	1	ɛ	mid	contraction	64071	/ˈnɛs.tɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
devem	diacritized	dévem	de.ˈvem	ˈdɛ.vem	1	ɛ	stress+mid	verb	63381	/ˈdɛ.vẽj̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
estivesse	diacritized	estivésse	es.ti.ˈve.se	es.ti.ˈvɛ.se	3	ɛ	mid	verb	58642	/es.t͡ʃiˈvɛ.si/ | /is.t͡ʃiˈvɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
estas	diacritized	éstas	ˈes.tas	ˈɛs.tas	1	ɛ	mid	det,pron	56035	/ˈɛs.tɐs/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
disseram	diacritized	disséram	di.ˈse.rãw̃	di.ˈsɛ.rãw̃	2	ɛ	mid	verb	49941	/d͡ʒiˈsɛ.ɾɐ̃w̃/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
senhores	diacritized	senhôres	se.ˈɲɔ.res	se.ˈɲo.res	2	o	mid	adj,noun	47680	/sẽˈɲo.ɾis/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
mortos	diacritized	mórtos	ˈmor.tos	ˈmɔr.tos	1	ɔ	mid	adj,noun,verb	46853	/ˈmɔʁ.tus/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
fotos	diacritized	fótos	ˈfo.tos	ˈfɔ.tos	1	ɔ	mid	noun	46043	/ˈfɔ.tus/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
morta	diacritized	mórta	ˈmor.ta	ˈmɔr.ta	1	ɔ	mid	adj,verb	45526	/ˈmɔʁ.tɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
pudesse	diacritized	pudésse	pu.ˈde.se	pu.ˈdɛ.se	2	ɛ	mid	verb	44232	/puˈdɛ.si/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
puder	diacritized	pudér	pu.ˈder	pu.ˈdɛr	2	ɛ	mid	verb	38175	/puˈdɛ(ʁ)/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
começa	diacritized	coméça	ko.ˈme.sa	ko.ˈmɛ.sa	2	ɛ	mid	verb	38039	/koˈmɛ.sɐ/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
adoro	diacritized	adóro	a.ˈdo.ro	a.ˈdɔ.ro	2	ɔ	mid	noun,verb	37680	/aˈdɔ.ɾu/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
costas	diacritized	cóstas	ˈkos.tas	ˈkɔs.tas	1	ɔ	mid	noun	35740	/ˈkɔs.tɐs/	https://kaikki.org/dictionary/Portuguese/kaikki.org-dictionary-Portuguese.jsonl	CC BY-SA 4.0
